Aggregating data for Patches: ['16.5', '16.4', '16.3', '16.2', '16.1'] and Tiers: ['emerald', 'diamond']...
Aggregation complete. Analyzed 10 files.


=== 0 - 15 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
23    zilean               53.87%    92770
24    kogmaw               53.76%    54382
25    fiddlesticks         53.74%    93345
26    maokai               53.73%    57764
27    vayne                53.71%   224298
28    zaahen               53.71%   178420
29    riven                53.65%   129958
30    evelynn              53.57%    82477
31    jinx                 53.56%   514631
32    yuumi                53.54%   146481
33    malzahar             53.49%   206550
34    rakan                53.49%   119596
35    shen                 53.45%   114507
36    soraka               53.40%   159812
37    samira               53.36%   158526
38    gwen                 53.34%   119582
39    sivir                53.21%   252299
40    xerath               53.20%   154705
41    janna                53.13%   135085
42    galio                53.11%   128826
43    rengar               53.10%   133195
44    nasus                53.10%   129115
45    masteryi             53.07%   158835
46    aphelios             53.05%   307371
47    smolder              53.00%   344980
48    briar                52.99%   153613
49    vex                  52.94%    94903
50    xayah                52.93%   128330
51    ahri                 52.89%   370344
52    malphite             52.87%   206041
53    xinzhao              52.86%   155882
54    graves               52.86%   201307
55    vladimir             52.83%    90827
56    kayn                 52.76%   174524
57    leona                52.75%   233388
58    shaco                52.74%   142464
59    seraphine            52.71%   141740
60    drmundo              52.70%   135485
61    nami                 52.70%   478528
62    chogath              52.64%    84644
63    syndra               52.58%   205233
64    volibear             52.58%   139721
65    thresh               52.52%   425117
66    kennen               52.50%    91699
67    rell                 52.50%    82829
68    twistedfate          52.49%   161508
69    vi                   52.47%   157945
70    mordekaiser          52.45%   178927
71    nunu                 52.45%    90820
72    wukong               52.44%    85039
73    blitzcrank           52.39%   170059
74    lulu                 52.37%   326598
75    zac                  52.35%   109254
76    nocturne             52.35%   147009
77    gangplank            52.34%   175221
78    ashe                 52.33%   231832
79    alistar              52.33%   136938
80    cassiopeia           52.29%    40113
81    nautilus             52.27%   316139
82    sett                 52.21%   176126
83    sejuani              52.18%    59731
84    rumble               52.15%    85393
85    garen                52.15%   203476
86    tristana             52.14%   130953
87    anivia               52.08%   101412
88    lillia               52.04%    94437
89    reksai               52.01%    74427
90    fizz                 51.98%   137386
91    senna                51.97%   153368
92    brand                51.97%    89201
93    qiyana               51.92%    79748
94    olaf                 51.91%    66507
95    warwick              51.82%    73340
96    caitlyn              51.79%   592188
97    naafiri              51.76%   116452
98    zed                  51.75%   234804
99    jarvaniv             51.74%   196270
100   urgot                51.74%    86930
101   jhin                 51.63%   465828
102   akshan               51.63%    92851
103   lissandra            51.60%   101776
104   zyra                 51.60%    89713
105   viktor               51.54%   214142
106   morgana              51.48%   151902
107   kindred              51.46%    61989
108   ekko                 51.44%   237253
109   lucian               51.39%   315825
110   hwei                 51.39%   104292
111   udyr                 51.33%    51712
112   poppy                51.26%    52356
113   viego                51.21%   428930
114   talon                51.20%   114689
115   skarner              51.19%    17437
116   aurora               51.16%    91144
117   camille              51.15%    78926
118   elise                51.14%    77460
119   darius               51.04%   199562
120   sion                 51.01%   149522
121   kaisa                50.83%   561470
122   jax                  50.83%   205887
123   akali                50.80%   241532
124   gnar                 50.75%   122452
125   bard                 50.72%   200933
126   ambessa              50.69%   134235
127   leblanc              50.66%   135983
128   ziggs                50.62%    52173
129   yone                 50.60%   161682
130   sylas                50.59%   206043
131   heimerdinger         50.59%    29332
132   tahmkench            50.58%    66468
133   draven               50.58%   119766
134   fiora                50.52%   116067
135   aatrox               50.50%   216709
136   renekton             50.50%   174630
137   diana                50.48%   247990
138   taliyah              50.46%    67038
139   zoe                  50.45%   112918
140   yasuo                50.39%   285989
141   katarina             50.34%   228821
142   orianna              50.32%   160929
143   yunara               50.29%   273363
144   gragas               50.27%    61573
145   neeko                50.15%    88296
146   velkoz               50.15%    88038
147   ryze                 50.12%   171380
148   shyvana              50.06%    35059
149   karma                49.93%   309309
150   pyke                 49.91%   183205
151   karthus              49.83%    47239
152   hecarim              49.73%   109328
153   kled                 49.49%    54982
154   jayce                49.42%   157321
155   nidalee              49.13%    55166
156   varus                48.96%   161614
157   lux                  48.93%   157043
158   tryndamere           48.91%    71205
159   swain                48.74%    90793
160   leesin               48.71%   330908
161   belveth              48.71%    44314
162   azir                 48.65%    69043
163   corki                48.62%   112177
164   pantheon             48.37%    81311
165   illaoi               48.27%    65246
166   kalista              48.15%    25302
167   trundle              47.83%    38329
168   yorick               47.75%   104611
169   irelia               47.74%   135302
170   ksante               47.41%   114882
171   mel                  47.38%   135680
172   ezreal               47.22%   481142

=== 35 - 40 min (Top 200, min 100 games) ===
Rank  Champion             Win Rate   Games
--------------------------------------------------
1     kayle                60.93%    66635
2     aurelionsol          60.10%    47974
3     twitch               58.80%   104631
4     nilah                58.26%    26010
5     rammus               58.14%    29180
6     ornn                 57.65%    76002
7     kassadin             57.33%    60534
8     yuumi                56.90%    59474
9     annie                56.88%    24260
10    veigar               56.36%    70771
11    milio                56.21%   115893
12    braum                55.98%   126905
13    renata               55.87%    17613
14    zeri                 55.35%    32561
15    singed               55.19%    42816
16    teemo                55.10%    43106
17    missfortune          55.08%   137660
18    sona                 54.98%    81836
19    vladimir             54.95%    40360
20    gwen                 54.93%    52160
21    zilean               54.71%    44180
22    amumu                54.69%    39838
23    evelynn              54.65%    40365
24    shaco                54.46%    78776
25    sivir                54.43%   115214
26    smolder              54.32%   176410
27    soraka               54.32%    72320
28    fiddlesticks         54.29%    48160
29    rakan                54.27%    52286
30    aphelios             54.22%   135306
31    jinx                 54.21%   221202
32    ivern                54.18%    16884
33    xerath               54.12%    77548
34    taric                54.12%    15916
35    riven                54.09%    58616
36    chogath              54.08%    41114
37    galio                54.05%    55880
38    samira               54.01%    68316
39    vayne                53.97%   102985
40    zaahen               53.95%    80204
41    quinn                53.93%    16942
42    rengar               53.83%    64739
43    sett                 53.81%    82836
44    masteryi             53.76%    69732
45    seraphine            53.66%    65495
46    xayah                53.60%    58552
47    lulu                 53.51%   140568
48    nasus                53.47%    57892
49    shen                 53.45%    52926
50    zac                  53.30%    49179
51    malzahar             53.10%    98088
52    xinzhao              53.04%    65666
53    tristana             53.02%    58283
54    drmundo              53.02%    59983
55    sejuani              53.00%    27763
56    maokai               52.98%    26431
